Номер,Текст,Время
1,"Привет, дружище! Я попал в странную ситуацию. Даже не знаю с чего начать, но времени у меня мало. Сумел только собрать телеграф из подручных средств. Мне жутко повезло, что я вспомнил номер твоей станции и смог отправить тебе это сообщение. Боюсь, что мой аппарат не сможет принимать полные сообщения от тебя, но я могу попробовать классифицировать сообщения “да” и “нет” по длине их сигнала. Очень надеюсь на твою помощь. Пожалуйста, подтверди прием этой телеграммы. А. Ш.", 1
2,"Как же я рад, что ты ответил! Надеюсь, это и вправду ты. Боже, как болит голова…",1
3,"Я в очень странном месте. Комната без окон и дверей, с высоким потолком. Неприятный запах сырости. Похоже на склад. Было абсолютно темно, но мне повезло найти лампу... Что происходит? Где я?",1
4,"Так, вижу только лестницу наверх и наверху дверь. Естественно, закрыта, кто бы сомневался.",1
5,"Черт, вот живешь себе спокойно, работаешь “на благо общества”. Преступников отлавливаешь. А потом эти преступники сами отловили тебя, как псину, и под замок закрыли... Честно, я очень жалею, что перестал с тобой общаться после тех событий...",1
6,"Никогда не думал, что смогу признаться в этом. Дружище, мне страшно…",1
7,Кричать о помощи точно бессмысленно.,1
8,"Боюсь, я под землей. Хотя не уверен: мой телеграф принимает сигналы.",1
9,Ты до сих пор принимаешь мои телеграммы?,1
10,"Я не помню как, черт побери, тут оказался. Даже не знаю, на что способны эти психи. И зачем им я? Какую ниточку я случайно дернул?",1
11,"Так, спокойнее, Артур. Нужно осмотреться.",1
12,"Тут очень много техники и различных приборов. Это точно склад. Или законсервированная радиотехническая лаборатория. Попробую поискать полезное что-нибудь и телеграфирую тебе. Ох, лучше бы я поискал выход, теплую кровать и горячую еду. Размечтался.",3600
13,"Я нашел чертежный стол. Тут много каких-то работ, они все без подписи. Не понимаю, что это.",1
14,"Похоже на чертежи кораблей и подлодок. Скорее даже черновики чертежей. Видимо, тут разрабатывали радиостанции для кораблей. Ничего необычного, кроме ситуации, что я оказался заперт с этими рисуночками наедине.",1
15,"Нашел ресивер в куче хлама внутри стола, возможно смогу принимать от тебя сообщения. Надеюсь… Будет хоть не так страшно... Боже. Я же мужик! Старший детектив сыскного отдела! Подожди немного, мне нужно успокоиться и собраться.",1
16,"Тут письмо открытое. Очень странно. В письме только это: “ПРАВОСУДИЕ РЕУ.П КГЦ”. Я ничего не понимаю. Если поймешь, что это, ответь мне.",1
17,Вижу сейф. Закрыт.,1